time_rounded,meter_id,energy_heat_kwh,volume_flow_m3,current_power,t_supply,t_return
2018-01-03 00:00:00+00:00,14,6717.0,212.0,1.0,63.0,35.1
2018-01-03 01:00:00+00:00,14,6717.9,212.0,0.9,63.0,35.1
2018-01-03 02:00:00+00:00,14,6718.0,212.0,0.1,63.0,35.1
2018-01-03 03:00:00+00:00,14,6718.0,212.0,0.0,63.0,35.1
2018-01-03 04:00:00+00:00,14,6718.0,212.0,0.0,63.0,35.1
2018-01-03 05:00:00+00:00,14,6718.0,212.0,0.0,63.0,35.1
2018-01-03 06:00:00+00:00,14,6718.0,212.0,0.0,63.0,35.1
2018-01-03 07:00:00+00:00,14,6718.0,212.0,0.0,63.0,35.1
2018-01-03 08:00:00+00:00,14,6719.0,212.1,1.0,63.0,35.1
2018-01-03 09:00:00+00:00,14,6721.8,212.1,2.8,63.0,35.1
2018-01-03 10:00:00+00:00,14,6724.1,212.2,2.3,63.0,35.1
2018-01-03 11:00:00+00:00,14,6725.0,212.2,0.9,63.0,35.1
2018-01-03 12:00:00+00:00,14,6725.0,212.2,0.0,63.0,35.1
2018-01-03 13:00:00+00:00,14,6725.0,212.2,0.0,63.0,35.1
2018-01-03 14:00:00+00:00,14,6725.0,212.2,0.0,63.0,35.1
2018-01-03 15:00:00+00:00,14,6725.0,212.2,0.0,63.0,35.1
2018-01-03 16:00:00+00:00,14,6726.0,212.2,1.0,63.0,35.1
2018-01-03 17:00:00+00:00,14,6726.0,212.3,0.0,63.0,35.1
2018-01-03 18:00:00+00:00,14,6727.9,212.3,1.9,63.0,35.1
2018-01-03 19:00:00+00:00,14,6728.0,212.3,0.1,63.0,35.1
2018-01-03 20:00:00+00:00,14,6728.0,212.3,0.0,63.0,35.1
2018-01-03 21:00:00+00:00,14,6728.0,212.3,0.0,63.0,35.1
2018-01-03 22:00:00+00:00,14,6729.0,212.3,1.0,63.0,35.1
2018-01-03 23:00:00+00:00,14,6729.0,212.3,0.0,63.0,35.1
